location,age_group,forecast_date,target_end_date,target,type,quantile,value,pathogen
DE,00+,2023-01-22,2022-12-25,-4 week ahead inc hosp,mean,NA,52662,seasonal_influenza
DE,00+,2023-01-22,2022-12-25,-4 week ahead inc hosp,quantile,0.025,52662,seasonal_influenza
DE,00+,2023-01-22,2022-12-25,-4 week ahead inc hosp,quantile,0.1,52662,seasonal_influenza
DE,00+,2023-01-22,2022-12-25,-4 week ahead inc hosp,quantile,0.25,52662,seasonal_influenza
DE,00+,2023-01-22,2022-12-25,-4 week ahead inc hosp,quantile,0.5,52662,seasonal_influenza
DE,00+,2023-01-22,2022-12-25,-4 week ahead inc hosp,quantile,0.75,52662,seasonal_influenza
DE,00+,2023-01-22,2022-12-25,-4 week ahead inc hosp,quantile,0.9,52662,seasonal_influenza
DE,00+,2023-01-22,2022-12-25,-4 week ahead inc hosp,quantile,0.975,52662,seasonal_influenza
DE,00+,2023-01-22,2023-01-01,-3 week ahead inc hosp,mean,NA,22141.266,seasonal_influenza
DE,00+,2023-01-22,2023-01-01,-3 week ahead inc hosp,quantile,0.025,22101,seasonal_influenza
DE,00+,2023-01-22,2023-01-01,-3 week ahead inc hosp,quantile,0.1,22112,seasonal_influenza
DE,00+,2023-01-22,2023-01-01,-3 week ahead inc hosp,quantile,0.25,22123,seasonal_influenza
DE,00+,2023-01-22,2023-01-01,-3 week ahead inc hosp,quantile,0.5,22138,seasonal_influenza
DE,00+,2023-01-22,2023-01-01,-3 week ahead inc hosp,quantile,0.75,22154,seasonal_influenza
DE,00+,2023-01-22,2023-01-01,-3 week ahead inc hosp,quantile,0.9,22175,seasonal_influenza
DE,00+,2023-01-22,2023-01-01,-3 week ahead inc hosp,quantile,0.975,22207,seasonal_influenza
DE,00+,2023-01-22,2023-01-08,-2 week ahead inc hosp,mean,NA,14335.413,seasonal_influenza
DE,00+,2023-01-22,2023-01-08,-2 week ahead inc hosp,quantile,0.025,14309,seasonal_influenza
DE,00+,2023-01-22,2023-01-08,-2 week ahead inc hosp,quantile,0.1,14317,seasonal_influenza
DE,00+,2023-01-22,2023-01-08,-2 week ahead inc hosp,quantile,0.25,14323,seasonal_influenza
DE,00+,2023-01-22,2023-01-08,-2 week ahead inc hosp,quantile,0.5,14333,seasonal_influenza
DE,00+,2023-01-22,2023-01-08,-2 week ahead inc hosp,quantile,0.75,14346,seasonal_influenza
DE,00+,2023-01-22,2023-01-08,-2 week ahead inc hosp,quantile,0.9,14357,seasonal_influenza
DE,00+,2023-01-22,2023-01-08,-2 week ahead inc hosp,quantile,0.975,14372,seasonal_influenza
