location,age_group,year,week,date,value
DE,00+,2023,36,2023-09-10,923
DE,00+,2023,37,2023-09-17,1053
DE,00+,2023,38,2023-09-24,1127
DE,00+,2023,39,2023-10-01,1345
DE,00+,2023,40,2023-10-08,1098
DE,00+,2023,41,2023-10-15,1529
DE,00+,2023,42,2023-10-22,1559
DE,00+,2023,43,2023-10-29,1672
DE,00+,2023,44,2023-11-05,1491
DE,00+,2023,45,2023-11-12,1810
DE,00+,2023,46,2023-11-19,1897
DE,00-04,2023,36,2023-09-10,2878
DE,00-04,2023,37,2023-09-17,3289
DE,00-04,2023,38,2023-09-24,3556
DE,00-04,2023,39,2023-10-01,4158
DE,00-04,2023,40,2023-10-08,3322
DE,00-04,2023,41,2023-10-15,4079
DE,00-04,2023,42,2023-10-22,4301
DE,00-04,2023,43,2023-10-29,4578
DE,00-04,2023,44,2023-11-05,3753
DE,00-04,2023,45,2023-11-12,4369
DE,00-04,2023,46,2023-11-19,4415
DE,05-14,2023,36,2023-09-10,1282
DE,05-14,2023,37,2023-09-17,1550
DE,05-14,2023,38,2023-09-24,1622
DE,05-14,2023,39,2023-10-01,2001
DE,05-14,2023,40,2023-10-08,1306
DE,05-14,2023,41,2023-10-15,1662
DE,05-14,2023,42,2023-10-22,1717
DE,05-14,2023,43,2023-10-29,1815
DE,05-14,2023,44,2023-11-05,1661
DE,05-14,2023,45,2023-11-12,2158
DE,05-14,2023,46,2023-11-19,2214
DE,15-34,2023,36,2023-09-10,1315
DE,15-34,2023,37,2023-09-17,1452
DE,15-34,2023,38,2023-09-24,1512
DE,15-34,2023,39,2023-10-01,1884
DE,15-34,2023,40,2023-10-08,1466
DE,15-34,2023,41,2023-10-15,2086
DE,15-34,2023,42,2023-10-22,2082
DE,15-34,2023,43,2023-10-29,2154
DE,15-34,2023,44,2023-11-05,1851
DE,15-34,2023,45,2023-11-12,2295
DE,15-34,2023,46,2023-11-19,2407
DE,35-59,2023,36,2023-09-10,825
DE,35-59,2023,37,2023-09-17,938
DE,35-59,2023,38,2023-09-24,1029
DE,35-59,2023,39,2023-10-01,1190
DE,35-59,2023,40,2023-10-08,1026
DE,35-59,2023,41,2023-10-15,1515
DE,35-59,2023,42,2023-10-22,1566
DE,35-59,2023,43,2023-10-29,1748
DE,35-59,2023,44,2023-11-05,1629
DE,35-59,2023,45,2023-11-12,1922
DE,35-59,2023,46,2023-11-19,2101
DE,60+,2023,36,2023-09-10,306
DE,60+,2023,37,2023-09-17,362
DE,60+,2023,38,2023-09-24,395
DE,60+,2023,39,2023-10-01,446
DE,60+,2023,40,2023-10-08,473
DE,60+,2023,41,2023-10-15,660
DE,60+,2023,42,2023-10-22,655
DE,60+,2023,43,2023-10-29,696
DE,60+,2023,44,2023-11-05,631
DE,60+,2023,45,2023-11-12,782
DE,60+,2023,46,2023-11-19,760
DE-BB-BE,00+,2023,36,2023-09-10,2120
DE-BB-BE,00+,2023,37,2023-09-17,2592
DE-BB-BE,00+,2023,38,2023-09-24,2761
DE-BB-BE,00+,2023,39,2023-10-01,2668
DE-BB-BE,00+,2023,40,2023-10-08,2206
DE-BB-BE,00+,2023,41,2023-10-15,3393
