location,age_group,year,week,date,value
DE,00+,2024,41,2024-10-13,16300
DE,00+,2024,42,2024-10-20,8955
DE,00-04,2024,41,2024-10-13,438
DE,00-04,2024,42,2024-10-20,236
DE,05-14,2024,41,2024-10-13,176
DE,05-14,2024,42,2024-10-20,80
DE,15-34,2024,41,2024-10-13,1494
DE,15-34,2024,42,2024-10-20,829
DE,35-59,2024,41,2024-10-13,3435
DE,35-59,2024,42,2024-10-20,1827
DE,60-79,2024,41,2024-10-13,4904
DE,60-79,2024,42,2024-10-20,2792
DE,80+,2024,41,2024-10-13,5853
DE,80+,2024,42,2024-10-20,3191
DE-BB-BE,00+,2024,41,2024-10-13,1094
DE-BB-BE,00+,2024,42,2024-10-20,773
DE-BW,00+,2024,41,2024-10-13,2046
DE-BW,00+,2024,42,2024-10-20,1172
DE-BY,00+,2024,41,2024-10-13,3707
DE-BY,00+,2024,42,2024-10-20,2192
DE-HE,00+,2024,41,2024-10-13,1056
DE-HE,00+,2024,42,2024-10-20,621
DE-MV,00+,2024,41,2024-10-13,535
DE-MV,00+,2024,42,2024-10-20,181
DE-NI-HB,00+,2024,41,2024-10-13,1079
DE-NI-HB,00+,2024,42,2024-10-20,552
DE-NW,00+,2024,41,2024-10-13,2577
DE-NW,00+,2024,42,2024-10-20,1078
DE-RP-SL,00+,2024,41,2024-10-13,998
DE-RP-SL,00+,2024,42,2024-10-20,609
DE-SH-HH,00+,2024,41,2024-10-13,955
DE-SH-HH,00+,2024,42,2024-10-20,551
DE-SN,00+,2024,41,2024-10-13,1067
DE-SN,00+,2024,42,2024-10-20,642
DE-ST,00+,2024,41,2024-10-13,631
DE-ST,00+,2024,42,2024-10-20,295
DE-TH,00+,2024,41,2024-10-13,593
DE-TH,00+,2024,42,2024-10-20,332
