"","model","target_type","forecast_date","target_end_date","location","age_group","pathogen","mean","q0.025","q0.25","q0.5","q0.75","q0.975","retrospective"
"1","KIT-simple_nowcast","inc case","2022-06-05","2022-06-05","DE","00-04","seasonal_influenza",134,87,105,124,152,236,FALSE
"9","KIT-simple_nowcast","inc case","2022-06-05","2022-05-29","DE","00-04","seasonal_influenza",176,136,138,150,187,362,FALSE
"17","KIT-simple_nowcast","inc case","2022-06-05","2022-05-22","DE","00-04","seasonal_influenza",247,210,210,217,249,461,FALSE
"25","KIT-simple_nowcast","inc case","2022-06-05","2022-05-15","DE","00-04","seasonal_influenza",297,266,266,268,290,520,FALSE
"33","KIT-simple_nowcast","inc case","2022-06-05","2022-05-08","DE","00-04","seasonal_influenza",244,219,220,226,248,372,FALSE
"41","KIT-simple_nowcast","inc case","2022-06-05","2022-06-05","DE","05-14","seasonal_influenza",219,175,197,214,235,291,FALSE
"49","KIT-simple_nowcast","inc case","2022-06-05","2022-05-29","DE","05-14","seasonal_influenza",330,299,311,324,343,397,FALSE
"57","KIT-simple_nowcast","inc case","2022-06-05","2022-05-22","DE","05-14","seasonal_influenza",682,655,665,676,693,742,FALSE
"65","KIT-simple_nowcast","inc case","2022-06-05","2022-05-15","DE","05-14","seasonal_influenza",798,780,786,794,805,840,FALSE
"73","KIT-simple_nowcast","inc case","2022-06-05","2022-05-08","DE","05-14","seasonal_influenza",512,502,506,510,517,534,FALSE
"81","KIT-simple_nowcast","inc case","2022-06-05","2022-06-05","DE","15-34","seasonal_influenza",349,284,317,342,373,454,FALSE
"89","KIT-simple_nowcast","inc case","2022-06-05","2022-05-29","DE","15-34","seasonal_influenza",297,255,276,292,313,367,FALSE
"97","KIT-simple_nowcast","inc case","2022-06-05","2022-05-22","DE","15-34","seasonal_influenza",549,508,527,543,565,621,FALSE
"105","KIT-simple_nowcast","inc case","2022-06-05","2022-05-15","DE","15-34","seasonal_influenza",577,540,553,569,591,659,FALSE
"113","KIT-simple_nowcast","inc case","2022-06-05","2022-05-08","DE","15-34","seasonal_influenza",590,559,567,580,602,675,FALSE
"121","KIT-simple_nowcast","inc case","2022-06-05","2022-06-05","DE","35-59","seasonal_influenza",187,144,162,179,203,271,FALSE
"129","KIT-simple_nowcast","inc case","2022-06-05","2022-05-29","DE","35-59","seasonal_influenza",186,158,165,177,197,269,FALSE
"137","KIT-simple_nowcast","inc case","2022-06-05","2022-05-22","DE","35-59","seasonal_influenza",333,308,312,322,342,421,FALSE
"145","KIT-simple_nowcast","inc case","2022-06-05","2022-05-15","DE","35-59","seasonal_influenza",332,313,316,323,339,401,FALSE
"153","KIT-simple_nowcast","inc case","2022-06-05","2022-05-08","DE","35-59","seasonal_influenza",305,291,293,299,311,355,FALSE
"161","KIT-simple_nowcast","inc case","2022-06-05","2022-06-05","DE","60-79","seasonal_influenza",63,51,56,61,68,85,FALSE
"169","KIT-simple_nowcast","inc case","2022-06-05","2022-05-29","DE","60-79","seasonal_influenza",72,65,65,68,73,100,FALSE
"177","KIT-simple_nowcast","inc case","2022-06-05","2022-05-22","DE","60-79","seasonal_influenza",130,125,125,126,131,156,FALSE
"185","KIT-simple_nowcast","inc case","2022-06-05","2022-05-15","DE","60-79","seasonal_influenza",141,138,138,138,141,162,FALSE
"193","KIT-simple_nowcast","inc case","2022-06-05","2022-05-08","DE","60-79","seasonal_influenza",85,83,83,83,84,98,FALSE
"201","KIT-simple_nowcast","inc case","2022-06-05","2022-06-05","DE","80+","seasonal_influenza",27,19,23,26,31,43,FALSE
"209","KIT-simple_nowcast","inc case","2022-06-05","2022-05-29","DE","80+","seasonal_influenza",40,34,38,40,43,49,FALSE
"217","KIT-simple_nowcast","inc case","2022-06-05","2022-05-22","DE","80+","seasonal_influenza",60,53,56,59,62,73,FALSE
"225","KIT-simple_nowcast","inc case","2022-06-05","2022-05-15","DE","80+","seasonal_influenza",71,65,68,70,73,80,FALSE
"233","KIT-simple_nowcast","inc case","2022-06-05","2022-05-08","DE","80+","seasonal_influenza",55,49,52,54,57,65,FALSE
"241","KIT-simple_nowcast","inc case","2022-06-05","2022-06-05","DE","00+","seasonal_influenza",952,760,849,925,1026,1292,FALSE
"249","KIT-simple_nowcast","inc case","2022-06-05","2022-05-29","DE","00+","seasonal_influenza",1073,944,994,1047,1124,1347,FALSE
"257","KIT-simple_nowcast","inc case","2022-06-05","2022-05-22","DE","00+","seasonal_influenza",1971,1858,1901,1948,2016,2218,FALSE
"265","KIT-simple_nowcast","inc case","2022-06-05","2022-05-15","DE","00+","seasonal_influenza",2189,2106,2139,2173,2221,2362,FALSE
"273","KIT-simple_nowcast","inc case","2022-06-05","2022-05-08","DE","00+","seasonal_influenza",1767,1711,1734,1757,1789,1878,FALSE
"281","KIT-simple_nowcast","inc case","2022-06-05","2022-06-05","DE-BB","00+","seasonal_influenza",141,71,77,102,164,429,FALSE
"289","KIT-simple_nowcast","inc case","2022-06-05","2022-05-29","DE-BB","00+","seasonal_influenza",141,86,86,88,121,559,FALSE
"297","KIT-simple_nowcast","inc case","2022-06-05","2022-05-22","DE-BB","00+","seasonal_influenza",178,133,133,135,163,519,FALSE
"305","KIT-simple_nowcast","inc case","2022-06-05","2022-05-15","DE-BB","00+","seasonal_influenza",168,136,136,139,165,375,FALSE
"313","KIT-simple_nowcast","inc case","2022-06-05","2022-05-08","DE-BB","00+","seasonal_influenza",127,108,108,110,126,246,FALSE
"321","KIT-simple_nowcast","inc case","2022-06-05","2022-06-05","DE-BE","00+","seasonal_influenza",68,55,60,65,72,95,FALSE
"329","KIT-simple_nowcast","inc case","2022-06-05","2022-05-29","DE-BE","00+","seasonal_influenza",57,50,54,56,60,68,FALSE
"337","KIT-simple_nowcast","inc case","2022-06-05","2022-05-22","DE-BE","00+","seasonal_influenza",95,90,93,94,96,100,FALSE
"345","KIT-simple_nowcast","inc case","2022-06-05","2022-05-15","DE-BE","00+","seasonal_influenza",104,99,102,103,105,109,FALSE
"353","KIT-simple_nowcast","inc case","2022-06-05","2022-05-08","DE-BE","00+","seasonal_influenza",78,74,77,78,80,84,FALSE
"361","KIT-simple_nowcast","inc case","2022-06-05","2022-06-05","DE-BW","00+","seasonal_influenza",18,12,14,16,20,32,FALSE
"369","KIT-simple_nowcast","inc case","2022-06-05","2022-05-29","DE-BW","00+","seasonal_influenza",31,26,26,28,33,57,FALSE
"377","KIT-simple_nowcast","inc case","2022-06-05","2022-05-22","DE-BW","00+","seasonal_influenza",73,67,67,68,73,104,FALSE
"385","KIT-simple_nowcast","inc case","2022-06-05","2022-05-15","DE-BW","00+","seasonal_influenza",95,90,90,92,96,118,FALSE
"393","KIT-simple_nowcast","inc case","2022-06-05","2022-05-08","DE-BW","00+","seasonal_influenza",82,78,79,81,84,97,FALSE
"401","KIT-simple_nowcast","inc case","2022-06-05","2022-06-05","DE-BY","00+","seasonal_influenza",108,86,96,105,117,149,FALSE
"409","KIT-simple_nowcast","inc case","2022-06-05","2022-05-29","DE-BY","00+","seasonal_influenza",138,120,125,133,145,183,FALSE
"417","KIT-simple_nowcast","inc case","2022-06-05","2022-05-22","DE-BY","00+","seasonal_influenza",223,208,213,219,229,258,FALSE
"425","KIT-simple_nowcast","inc case","2022-06-05","2022-05-15","DE-BY","00+","seasonal_influenza",309,298,301,306,313,337,FALSE
"433","KIT-simple_nowcast","inc case","2022-06-05","2022-05-08","DE-BY","00+","seasonal_influenza",268,262,263,266,270,286,FALSE
"441","KIT-simple_nowcast","inc case","2022-06-05","2022-06-05","DE-HB","00+","seasonal_influenza",4,4,4,4,4,6,FALSE
"449","KIT-simple_nowcast","inc case","2022-06-05","2022-05-29","DE-HB","00+","seasonal_influenza",2,2,2,2,2,3,FALSE
"457","KIT-simple_nowcast","inc case","2022-06-05","2022-05-22","DE-HB","00+","seasonal_influenza",2,2,2,2,2,2,FALSE
"465","KIT-simple_nowcast","inc case","2022-06-05","2022-05-15","DE-HB","00+","seasonal_influenza",2,2,2,2,2,2,FALSE
"473","KIT-simple_nowcast","inc case","2022-06-05","2022-05-08","DE-HB","00+","seasonal_influenza",1,1,1,1,1,1,FALSE
"481","KIT-simple_nowcast","inc case","2022-06-05","2022-06-05","DE-HE","00+","seasonal_influenza",30,16,17,22,35,87,FALSE
"489","KIT-simple_nowcast","inc case","2022-06-05","2022-05-29","DE-HE","00+","seasonal_influenza",29,15,15,15,22,141,FALSE
"497","KIT-simple_nowcast","inc case","2022-06-05","2022-05-22","DE-HE","00+","seasonal_influenza",41,26,26,26,31,176,FALSE
"505","KIT-simple_nowcast","inc case","2022-06-05","2022-05-15","DE-HE","00+","seasonal_influenza",54,39,39,39,44,188,FALSE
"513","KIT-simple_nowcast","inc case","2022-06-05","2022-05-08","DE-HE","00+","seasonal_influenza",61,46,46,46,51,195,FALSE
"521","KIT-simple_nowcast","inc case","2022-06-05","2022-06-05","DE-HH","00+","seasonal_influenza",54,36,39,46,61,117,FALSE
"529","KIT-simple_nowcast","inc case","2022-06-05","2022-05-29","DE-HH","00+","seasonal_influenza",44,35,35,38,47,85,FALSE
"537","KIT-simple_nowcast","inc case","2022-06-05","2022-05-22","DE-HH","00+","seasonal_influenza",62,56,56,57,62,94,FALSE
"545","KIT-simple_nowcast","inc case","2022-06-05","2022-05-15","DE-HH","00+","seasonal_influenza",51,49,49,49,50,67,FALSE
"553","KIT-simple_nowcast","inc case","2022-06-05","2022-05-08","DE-HH","00+","seasonal_influenza",54,53,53,53,53,65,FALSE
"561","KIT-simple_nowcast","inc case","2022-06-05","2022-06-05","DE-MV","00+","seasonal_influenza",96,63,69,82,108,207,FALSE
"569","KIT-simple_nowcast","inc case","2022-06-05","2022-05-29","DE-MV","00+","seasonal_influenza",133,104,109,121,144,231,FALSE
"577","KIT-simple_nowcast","inc case","2022-06-05","2022-05-22","DE-MV","00+","seasonal_influenza",238,212,216,226,248,335,FALSE
"585","KIT-simple_nowcast","inc case","2022-06-05","2022-05-15","DE-MV","00+","seasonal_influenza",277,258,261,269,285,345,FALSE
"593","KIT-simple_nowcast","inc case","2022-06-05","2022-05-08","DE-MV","00+","seasonal_influenza",137,125,127,132,142,175,FALSE
"601","KIT-simple_nowcast","inc case","2022-06-05","2022-06-05","DE-NI","00+","seasonal_influenza",46,38,42,45,48,59,FALSE
"609","KIT-simple_nowcast","inc case","2022-06-05","2022-05-29","DE-NI","00+","seasonal_influenza",48,45,45,45,47,77,FALSE
"617","KIT-simple_nowcast","inc case","2022-06-05","2022-05-22","DE-NI","00+","seasonal_influenza",81,78,78,78,81,97,FALSE
"625","KIT-simple_nowcast","inc case","2022-06-05","2022-05-15","DE-NI","00+","seasonal_influenza",83,82,82,82,82,96,FALSE
"633","KIT-simple_nowcast","inc case","2022-06-05","2022-05-08","DE-NI","00+","seasonal_influenza",56,55,55,55,55,61,FALSE
"641","KIT-simple_nowcast","inc case","2022-06-05","2022-06-05","DE-NW","00+","seasonal_influenza",82,73,77,80,85,98,FALSE
"649","KIT-simple_nowcast","inc case","2022-06-05","2022-05-29","DE-NW","00+","seasonal_influenza",109,106,107,108,111,118,FALSE
"657","KIT-simple_nowcast","inc case","2022-06-05","2022-05-22","DE-NW","00+","seasonal_influenza",124,122,122,123,125,130,FALSE
"665","KIT-simple_nowcast","inc case","2022-06-05","2022-05-15","DE-NW","00+","seasonal_influenza",126,125,125,125,127,130,FALSE
"673","KIT-simple_nowcast","inc case","2022-06-05","2022-05-08","DE-NW","00+","seasonal_influenza",119,119,119,119,119,121,FALSE
"681","KIT-simple_nowcast","inc case","2022-06-05","2022-06-05","DE-RP","00+","seasonal_influenza",22,19,19,21,24,35,FALSE
"689","KIT-simple_nowcast","inc case","2022-06-05","2022-05-29","DE-RP","00+","seasonal_influenza",21,19,19,20,22,34,FALSE
"697","KIT-simple_nowcast","inc case","2022-06-05","2022-05-22","DE-RP","00+","seasonal_influenza",32,30,30,30,32,43,FALSE
"705","KIT-simple_nowcast","inc case","2022-06-05","2022-05-15","DE-RP","00+","seasonal_influenza",50,48,48,49,50,54,FALSE
"713","KIT-simple_nowcast","inc case","2022-06-05","2022-05-08","DE-RP","00+","seasonal_influenza",43,42,42,43,43,45,FALSE
"721","KIT-simple_nowcast","inc case","2022-06-05","2022-06-05","DE-SH","00+","seasonal_influenza",46,36,38,43,50,76,FALSE
"729","KIT-simple_nowcast","inc case","2022-06-05","2022-05-29","DE-SH","00+","seasonal_influenza",28,20,21,24,31,59,FALSE
"737","KIT-simple_nowcast","inc case","2022-06-05","2022-05-22","DE-SH","00+","seasonal_influenza",54,47,48,52,57,77,FALSE
"745","KIT-simple_nowcast","inc case","2022-06-05","2022-05-15","DE-SH","00+","seasonal_influenza",49,43,44,47,51,65,FALSE
"753","KIT-simple_nowcast","inc case","2022-06-05","2022-05-08","DE-SH","00+","seasonal_influenza",38,34,35,37,40,50,FALSE
"761","KIT-simple_nowcast","inc case","2022-06-05","2022-06-05","DE-SL","00+","seasonal_influenza",6,2,3,5,8,16,FALSE
"769","KIT-simple_nowcast","inc case","2022-06-05","2022-05-29","DE-SL","00+","seasonal_influenza",8,3,3,5,9,28,FALSE
"777","KIT-simple_nowcast","inc case","2022-06-05","2022-05-22","DE-SL","00+","seasonal_influenza",11,6,6,8,13,35,FALSE
"785","KIT-simple_nowcast","inc case","2022-06-05","2022-05-15","DE-SL","00+","seasonal_influenza",13,7,7,9,14,42,FALSE
"793","KIT-simple_nowcast","inc case","2022-06-05","2022-05-08","DE-SL","00+","seasonal_influenza",9,3,3,5,11,44,FALSE
"801","KIT-simple_nowcast","inc case","2022-06-05","2022-06-05","DE-SN","00+","seasonal_influenza",201,149,165,187,222,337,FALSE
"809","KIT-simple_nowcast","inc case","2022-06-05","2022-05-29","DE-SN","00+","seasonal_influenza",266,247,247,247,256,422,FALSE
"817","KIT-simple_nowcast","inc case","2022-06-05","2022-05-22","DE-SN","00+","seasonal_influenza",567,552,552,552,561,688,FALSE
"825","KIT-simple_nowcast","inc case","2022-06-05","2022-05-15","DE-SN","00+","seasonal_influenza",659,648,648,651,662,714,FALSE
"833","KIT-simple_nowcast","inc case","2022-06-05","2022-05-08","DE-SN","00+","seasonal_influenza",550,542,543,545,552,581,FALSE
"841","KIT-simple_nowcast","inc case","2022-06-05","2022-06-05","DE-ST","00+","seasonal_influenza",64,45,52,60,72,109,FALSE
"849","KIT-simple_nowcast","inc case","2022-06-05","2022-05-29","DE-ST","00+","seasonal_influenza",55,45,45,45,50,142,FALSE
"857","KIT-simple_nowcast","inc case","2022-06-05","2022-05-22","DE-ST","00+","seasonal_influenza",178,168,168,168,172,268,FALSE
"865","KIT-simple_nowcast","inc case","2022-06-05","2022-05-15","DE-ST","00+","seasonal_influenza",132,125,125,125,127,196,FALSE
"873","KIT-simple_nowcast","inc case","2022-06-05","2022-05-08","DE-ST","00+","seasonal_influenza",111,106,106,106,108,155,FALSE
"881","KIT-simple_nowcast","inc case","2022-06-05","2022-06-05","DE-TH","00+","seasonal_influenza",18,15,15,17,19,27,FALSE
"889","KIT-simple_nowcast","inc case","2022-06-05","2022-05-29","DE-TH","00+","seasonal_influenza",11,10,10,10,11,17,FALSE
"897","KIT-simple_nowcast","inc case","2022-06-05","2022-05-22","DE-TH","00+","seasonal_influenza",56,55,55,55,56,60,FALSE
"905","KIT-simple_nowcast","inc case","2022-06-05","2022-05-15","DE-TH","00+","seasonal_influenza",53,52,52,52,53,56,FALSE
"913","KIT-simple_nowcast","inc case","2022-06-05","2022-05-08","DE-TH","00+","seasonal_influenza",55,55,55,55,55,58,FALSE
"921","KIT-simple_nowcast","inc case","2022-06-05","2022-06-05","DE","00-04","rsv_infection",0,0,0,0,0,1,FALSE
"929","KIT-simple_nowcast","inc case","2022-06-05","2022-05-29","DE","00-04","rsv_infection",0,0,0,0,0,1,FALSE
"937","KIT-simple_nowcast","inc case","2022-06-05","2022-05-22","DE","00-04","rsv_infection",0,0,0,0,0,1,FALSE
"945","KIT-simple_nowcast","inc case","2022-06-05","2022-05-15","DE","00-04","rsv_infection",2,2,2,2,2,3,FALSE
"953","KIT-simple_nowcast","inc case","2022-06-05","2022-05-08","DE","00-04","rsv_infection",1,1,1,1,1,1,FALSE
"961","KIT-simple_nowcast","inc case","2022-06-05","2022-06-05","DE","05-14","rsv_infection",0,0,0,0,0,0,FALSE
"969","KIT-simple_nowcast","inc case","2022-06-05","2022-05-29","DE","05-14","rsv_infection",0,0,0,0,0,0,FALSE
"977","KIT-simple_nowcast","inc case","2022-06-05","2022-05-22","DE","05-14","rsv_infection",0,0,0,0,0,0,FALSE
"985","KIT-simple_nowcast","inc case","2022-06-05","2022-05-15","DE","05-14","rsv_infection",0,0,0,0,0,0,FALSE
"993","KIT-simple_nowcast","inc case","2022-06-05","2022-05-08","DE","05-14","rsv_infection",0,0,0,0,0,0,FALSE
"1001","KIT-simple_nowcast","inc case","2022-06-05","2022-06-05","DE","15-34","rsv_infection",1,1,1,1,1,3,FALSE
"1009","KIT-simple_nowcast","inc case","2022-06-05","2022-05-29","DE","15-34","rsv_infection",0,0,0,0,0,0,FALSE
"1017","KIT-simple_nowcast","inc case","2022-06-05","2022-05-22","DE","15-34","rsv_infection",1,1,1,1,1,1,FALSE
"1025","KIT-simple_nowcast","inc case","2022-06-05","2022-05-15","DE","15-34","rsv_infection",1,1,1,1,1,1,FALSE
"1033","KIT-simple_nowcast","inc case","2022-06-05","2022-05-08","DE","15-34","rsv_infection",1,1,1,1,1,1,FALSE
"1041","KIT-simple_nowcast","inc case","2022-06-05","2022-06-05","DE","35-59","rsv_infection",0,0,0,0,0,0,FALSE
"1049","KIT-simple_nowcast","inc case","2022-06-05","2022-05-29","DE","35-59","rsv_infection",0,0,0,0,0,0,FALSE
"1057","KIT-simple_nowcast","inc case","2022-06-05","2022-05-22","DE","35-59","rsv_infection",1,1,1,1,1,1,FALSE
"1065","KIT-simple_nowcast","inc case","2022-06-05","2022-05-15","DE","35-59","rsv_infection",0,0,0,0,0,0,FALSE
"1073","KIT-simple_nowcast","inc case","2022-06-05","2022-05-08","DE","35-59","rsv_infection",0,0,0,0,0,0,FALSE
