model,target_type,forecast_date,target_end_date,location,age_group,pathogen,mean,q0.025,q0.25,q0.5,q0.75,q0.975,retrospective
KIT-simple_nowcast,inc case,2022-11-27,2022-11-27,DE,00-04,seasonal_influenza_survstat,1811,1696,1762,1804,1853,1964,FALSE
KIT-simple_nowcast,inc case,2022-11-27,2022-11-20,DE,00-04,seasonal_influenza_survstat,940,915,923,933,950,1002,FALSE
KIT-simple_nowcast,inc case,2022-11-27,2022-11-13,DE,00-04,seasonal_influenza_survstat,605,595,597,601,609,635,FALSE
KIT-simple_nowcast,inc case,2022-11-27,2022-11-06,DE,00-04,seasonal_influenza_survstat,364,360,360,362,366,382,FALSE
KIT-simple_nowcast,inc case,2022-11-27,2022-10-30,DE,00-04,seasonal_influenza_survstat,315,313,313,313,315,324,FALSE
KIT-simple_nowcast,inc case,2022-11-27,2022-11-27,DE,05-14,seasonal_influenza_survstat,5387,4867,5119,5323,5586,6264,FALSE
KIT-simple_nowcast,inc case,2022-11-27,2022-11-20,DE,05-14,seasonal_influenza_survstat,2328,2271,2272,2283,2334,2641,FALSE
KIT-simple_nowcast,inc case,2022-11-27,2022-11-13,DE,05-14,seasonal_influenza_survstat,1051,1032,1032,1035,1052,1165,FALSE
KIT-simple_nowcast,inc case,2022-11-27,2022-11-06,DE,05-14,seasonal_influenza_survstat,675,667,667,668,675,727,FALSE
KIT-simple_nowcast,inc case,2022-11-27,2022-10-30,DE,05-14,seasonal_influenza_survstat,756,753,753,754,757,771,FALSE
KIT-simple_nowcast,inc case,2022-11-27,2022-11-27,DE,15-34,seasonal_influenza_survstat,3581,3374,3495,3571,3656,3847,FALSE
KIT-simple_nowcast,inc case,2022-11-27,2022-11-20,DE,15-34,seasonal_influenza_survstat,1714,1651,1683,1708,1738,1816,FALSE
KIT-simple_nowcast,inc case,2022-11-27,2022-11-13,DE,15-34,seasonal_influenza_survstat,952,922,936,948,963,1002,FALSE
KIT-simple_nowcast,inc case,2022-11-27,2022-11-06,DE,15-34,seasonal_influenza_survstat,618,602,609,615,624,648,FALSE
KIT-simple_nowcast,inc case,2022-11-27,2022-10-30,DE,15-34,seasonal_influenza_survstat,542,535,537,540,544,558,FALSE
KIT-simple_nowcast,inc case,2022-11-27,2022-11-27,DE,35-59,seasonal_influenza_survstat,3016,2856,2950,3009,3074,3217,FALSE
KIT-simple_nowcast,inc case,2022-11-27,2022-11-20,DE,35-59,seasonal_influenza_survstat,1380,1318,1346,1370,1403,1493,FALSE
KIT-simple_nowcast,inc case,2022-11-27,2022-11-13,DE,35-59,seasonal_influenza_survstat,775,748,760,770,785,827,FALSE
KIT-simple_nowcast,inc case,2022-11-27,2022-11-06,DE,35-59,seasonal_influenza_survstat,471,458,463,468,476,502,FALSE
KIT-simple_nowcast,inc case,2022-11-27,2022-10-30,DE,35-59,seasonal_influenza_survstat,436,431,433,435,438,448,FALSE
KIT-simple_nowcast,inc case,2022-11-27,2022-11-27,DE,60-79,seasonal_influenza_survstat,958,897,932,955,980,1037,FALSE
KIT-simple_nowcast,inc case,2022-11-27,2022-11-20,DE,60-79,seasonal_influenza_survstat,406,397,402,405,409,415,FALSE
KIT-simple_nowcast,inc case,2022-11-27,2022-11-13,DE,60-79,seasonal_influenza_survstat,273,267,271,273,275,279,FALSE
KIT-simple_nowcast,inc case,2022-11-27,2022-11-06,DE,60-79,seasonal_influenza_survstat,152,149,150,152,153,159,FALSE
KIT-simple_nowcast,inc case,2022-11-27,2022-10-30,DE,60-79,seasonal_influenza_survstat,150,149,149,150,151,153,FALSE
KIT-simple_nowcast,inc case,2022-11-27,2022-11-27,DE,80+,seasonal_influenza_survstat,394,362,380,392,405,436,FALSE
KIT-simple_nowcast,inc case,2022-11-27,2022-11-20,DE,80+,seasonal_influenza_survstat,160,149,155,159,163,174,FALSE
KIT-simple_nowcast,inc case,2022-11-27,2022-11-13,DE,80+,seasonal_influenza_survstat,73,68,71,73,75,82,FALSE
KIT-simple_nowcast,inc case,2022-11-27,2022-11-06,DE,80+,seasonal_influenza_survstat,78,75,76,77,79,85,FALSE
KIT-simple_nowcast,inc case,2022-11-27,2022-10-30,DE,80+,seasonal_influenza_survstat,49,48,48,48,49,53,FALSE
KIT-simple_nowcast,inc case,2022-11-27,2022-11-27,DE,00+,seasonal_influenza_survstat,15166,14371,14841,15131,15453,16159,FALSE
KIT-simple_nowcast,inc case,2022-11-27,2022-11-20,DE,00+,seasonal_influenza_survstat,6943,6739,6844,6923,7020,7262,FALSE
KIT-simple_nowcast,inc case,2022-11-27,2022-11-13,DE,00+,seasonal_influenza_survstat,3735,3644,3688,3724,3770,3889,FALSE
KIT-simple_nowcast,inc case,2022-11-27,2022-11-06,DE,00+,seasonal_influenza_survstat,2362,2318,2337,2355,2379,2444,FALSE
KIT-simple_nowcast,inc case,2022-11-27,2022-10-30,DE,00+,seasonal_influenza_survstat,2250,2231,2239,2247,2257,2284,FALSE
KIT-simple_nowcast,inc case,2022-11-27,2022-11-27,DE-BB,00+,seasonal_influenza_survstat,387,349,358,374,402,498,FALSE
KIT-simple_nowcast,inc case,2022-11-27,2022-11-20,DE-BB,00+,seasonal_influenza_survstat,99,97,97,97,98,109,FALSE
KIT-simple_nowcast,inc case,2022-11-27,2022-11-13,DE-BB,00+,seasonal_influenza_survstat,48,47,47,47,47,54,FALSE
KIT-simple_nowcast,inc case,2022-11-27,2022-11-06,DE-BB,00+,seasonal_influenza_survstat,32,32,32,32,32,36,FALSE
KIT-simple_nowcast,inc case,2022-11-27,2022-10-30,DE-BB,00+,seasonal_influenza_survstat,20,20,20,20,20,22,FALSE
KIT-simple_nowcast,inc case,2022-11-27,2022-11-27,DE-BE,00+,seasonal_influenza_survstat,255,241,246,252,261,288,FALSE
KIT-simple_nowcast,inc case,2022-11-27,2022-11-20,DE-BE,00+,seasonal_influenza_survstat,129,126,126,127,130,144,FALSE
KIT-simple_nowcast,inc case,2022-11-27,2022-11-13,DE-BE,00+,seasonal_influenza_survstat,63,62,62,62,63,69,FALSE
KIT-simple_nowcast,inc case,2022-11-27,2022-11-06,DE-BE,00+,seasonal_influenza_survstat,58,58,58,58,58,63,FALSE
KIT-simple_nowcast,inc case,2022-11-27,2022-10-30,DE-BE,00+,seasonal_influenza_survstat,66,66,66,66,66,69,FALSE
KIT-simple_nowcast,inc case,2022-11-27,2022-11-27,DE-BW,00+,seasonal_influenza_survstat,1361,1230,1290,1342,1412,1601,FALSE
KIT-simple_nowcast,inc case,2022-11-27,2022-11-20,DE-BW,00+,seasonal_influenza_survstat,670,654,659,665,677,714,FALSE
KIT-simple_nowcast,inc case,2022-11-27,2022-11-13,DE-BW,00+,seasonal_influenza_survstat,246,241,242,244,248,263,FALSE
KIT-simple_nowcast,inc case,2022-11-27,2022-11-06,DE-BW,00+,seasonal_influenza_survstat,140,138,138,139,141,151,FALSE
KIT-simple_nowcast,inc case,2022-11-27,2022-10-30,DE-BW,00+,seasonal_influenza_survstat,142,141,141,141,143,148,FALSE
