model,target_type,forecast_date,target_end_date,location,age_group,pathogen,mean,q0.025,q0.25,q0.5,q0.75,q0.975,retrospective
KIT-simple_nowcast,inc case,2023-01-08,2023-01-08,DE,00-04,seasonal_influenza_survstat,1608,1447,1537,1597,1667,1827,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2023-01-01,DE,00-04,seasonal_influenza_survstat,2510,2385,2443,2493,2559,2734,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2022-12-25,DE,00-04,seasonal_influenza_survstat,5746,5653,5696,5733,5781,5910,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2022-12-18,DE,00-04,seasonal_influenza_survstat,6508,6453,6474,6497,6530,6626,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2022-12-11,DE,00-04,seasonal_influenza_survstat,5423,5402,5407,5416,5431,5480,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2023-01-08,DE,05-14,seasonal_influenza_survstat,1112,882,998,1088,1199,1479,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2023-01-01,DE,05-14,seasonal_influenza_survstat,1984,1758,1816,1911,2074,2624,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2022-12-25,DE,05-14,seasonal_influenza_survstat,6943,6748,6793,6873,7019,7526,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2022-12-18,DE,05-14,seasonal_influenza_survstat,12301,12178,12210,12261,12349,12642,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2022-12-11,DE,05-14,seasonal_influenza_survstat,12841,12793,12810,12830,12860,12955,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2023-01-08,DE,15-34,seasonal_influenza_survstat,3381,3010,3214,3354,3518,3902,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2023-01-01,DE,15-34,seasonal_influenza_survstat,4790,4501,4640,4754,4901,5285,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2022-12-25,DE,15-34,seasonal_influenza_survstat,13982,13739,13854,13951,14076,14405,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2022-12-18,DE,15-34,seasonal_influenza_survstat,15946,15808,15871,15926,16000,16198,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2022-12-11,DE,15-34,seasonal_influenza_survstat,13087,13034,13056,13077,13108,13196,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2023-01-08,DE,35-59,seasonal_influenza_survstat,4001,3623,3829,3972,4142,4546,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2023-01-01,DE,35-59,seasonal_influenza_survstat,5378,5105,5219,5330,5485,5924,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2022-12-25,DE,35-59,seasonal_influenza_survstat,13860,13642,13731,13820,13945,14303,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2022-12-18,DE,35-59,seasonal_influenza_survstat,14910,14790,14837,14886,14958,15166,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2022-12-11,DE,35-59,seasonal_influenza_survstat,11371,11329,11346,11363,11387,11456,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2023-01-08,DE,60-79,seasonal_influenza_survstat,3563,3290,3441,3544,3664,3947,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2023-01-01,DE,60-79,seasonal_influenza_survstat,4992,4842,4905,4966,5051,5289,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2022-12-25,DE,60-79,seasonal_influenza_survstat,8062,7962,7998,8040,8101,8285,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2022-12-18,DE,60-79,seasonal_influenza_survstat,6821,6779,6792,6810,6838,6925,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2022-12-11,DE,60-79,seasonal_influenza_survstat,4167,4154,4158,4164,4173,4201,FALSE
