"","model","target_type","forecast_date","target_end_date","location","age_group","pathogen","mean","q0.025","q0.25","q0.5","q0.75","q0.975","retrospective"
"1","KIT-simple_nowcast","inc case","2023-01-29","2023-01-29","DE","00-04","seasonal_influenza",292,248,270,287,308,362,FALSE
"9","KIT-simple_nowcast","inc case","2023-01-29","2023-01-22","DE","00-04","seasonal_influenza",366,337,349,361,378,423,FALSE
"17","KIT-simple_nowcast","inc case","2023-01-29","2023-01-15","DE","00-04","seasonal_influenza",655,630,640,650,665,706,FALSE
"25","KIT-simple_nowcast","inc case","2023-01-29","2023-01-08","DE","00-04","seasonal_influenza",1388,1367,1375,1383,1396,1434,FALSE
"33","KIT-simple_nowcast","inc case","2023-01-29","2023-01-01","DE","00-04","seasonal_influenza",2378,2366,2370,2375,2383,2407,FALSE
"41","KIT-simple_nowcast","inc case","2023-01-29","2023-01-29","DE","05-14","seasonal_influenza",349,305,328,345,365,413,FALSE
"49","KIT-simple_nowcast","inc case","2023-01-29","2023-01-22","DE","05-14","seasonal_influenza",335,305,318,330,347,396,FALSE
"57","KIT-simple_nowcast","inc case","2023-01-29","2023-01-15","DE","05-14","seasonal_influenza",458,434,444,454,468,507,FALSE
"65","KIT-simple_nowcast","inc case","2023-01-29","2023-01-08","DE","05-14","seasonal_influenza",842,824,831,839,850,880,FALSE
"73","KIT-simple_nowcast","inc case","2023-01-29","2023-01-01","DE","05-14","seasonal_influenza",1773,1762,1767,1771,1778,1795,FALSE
"81","KIT-simple_nowcast","inc case","2023-01-29","2023-01-29","DE","15-34","seasonal_influenza",508,442,475,501,533,616,FALSE
"89","KIT-simple_nowcast","inc case","2023-01-29","2023-01-22","DE","15-34","seasonal_influenza",630,589,607,624,647,708,FALSE
"97","KIT-simple_nowcast","inc case","2023-01-29","2023-01-15","DE","15-34","seasonal_influenza",1336,1301,1317,1331,1350,1401,FALSE
"105","KIT-simple_nowcast","inc case","2023-01-29","2023-01-08","DE","15-34","seasonal_influenza",2915,2889,2901,2911,2926,2965,FALSE
"113","KIT-simple_nowcast","inc case","2023-01-29","2023-01-01","DE","15-34","seasonal_influenza",4462,4448,4454,4460,4468,4490,FALSE
"121","KIT-simple_nowcast","inc case","2023-01-29","2023-01-29","DE","35-59","seasonal_influenza",701,631,667,694,728,813,FALSE
"129","KIT-simple_nowcast","inc case","2023-01-29","2023-01-22","DE","35-59","seasonal_influenza",782,742,758,774,797,862,FALSE
"137","KIT-simple_nowcast","inc case","2023-01-29","2023-01-15","DE","35-59","seasonal_influenza",1598,1565,1579,1592,1611,1664,FALSE
"145","KIT-simple_nowcast","inc case","2023-01-29","2023-01-08","DE","35-59","seasonal_influenza",3592,3567,3578,3588,3602,3642,FALSE
"153","KIT-simple_nowcast","inc case","2023-01-29","2023-01-01","DE","35-59","seasonal_influenza",5111,5099,5105,5109,5116,5134,FALSE
"161","KIT-simple_nowcast","inc case","2023-01-29","2023-01-29","DE","60-79","seasonal_influenza",340,288,313,333,359,427,FALSE
"169","KIT-simple_nowcast","inc case","2023-01-29","2023-01-22","DE","60-79","seasonal_influenza",482,443,458,474,497,565,FALSE
"177","KIT-simple_nowcast","inc case","2023-01-29","2023-01-15","DE","60-79","seasonal_influenza",1228,1193,1205,1220,1242,1310,FALSE
"185","KIT-simple_nowcast","inc case","2023-01-29","2023-01-08","DE","60-79","seasonal_influenza",3274,3246,3256,3267,3285,3339,FALSE
