location,age_group,year,week,date,value_0w,value_1w,value_2w,value_3w,value_4w,value_5w,value_6w,value_7w,value_8w,value_9w,value_10w,value_>10w
DE,00+,2024,40,2024-10-06,1662,582.0,333.0,332.0,,,,,,,,
DE,00+,2024,41,2024-10-13,1579,1164.0,249.0,,,,,,,,,
DE,00+,2024,42,2024-10-20,1912,831.0,,,,,,,,,,
DE,00+,2024,43,2024-10-27,2078,,,,,,,,,,,
DE,00-04,2024,40,2024-10-06,0,0.0,0.0,0.0,,,,,,,,
DE,00-04,2024,41,2024-10-13,0,0.0,0.0,,,,,,,,,
DE,00-04,2024,42,2024-10-20,0,0.0,,,,,,,,,,
DE,00-04,2024,43,2024-10-27,0,,,,,,,,,,,
DE,05-14,2024,40,2024-10-06,0,0.0,0.0,0.0,,,,,,,,
DE,05-14,2024,41,2024-10-13,0,0.0,0.0,,,,,,,,,
DE,05-14,2024,42,2024-10-20,0,0.0,,,,,,,,,,
DE,05-14,2024,43,2024-10-27,0,,,,,,,,,,,
DE,15-34,2024,40,2024-10-06,0,0.0,0.0,0.0,,,,,,,,
DE,15-34,2024,41,2024-10-13,0,0.0,0.0,,,,,,,,,
DE,15-34,2024,42,2024-10-20,0,0.0,,,,,,,,,,
DE,15-34,2024,43,2024-10-27,0,,,,,,,,,,,
DE,35-59,2024,40,2024-10-06,0,0.0,0.0,0.0,,,,,,,,
DE,35-59,2024,41,2024-10-13,0,0.0,0.0,,,,,,,,,
DE,35-59,2024,42,2024-10-20,0,0.0,,,,,,,,,,
DE,35-59,2024,43,2024-10-27,0,,,,,,,,,,,
DE,60-79,2024,40,2024-10-06,417,163.0,109.0,91.0,,,,,,,,
DE,60-79,2024,41,2024-10-13,381,363.0,0.0,,,,,,,,,
DE,60-79,2024,42,2024-10-20,580,291.0,,,,,,,,,,
DE,60-79,2024,43,2024-10-27,726,,,,,,,,,,,
DE,80+,2024,40,2024-10-06,848,303.0,160.0,196.0,,,,,,,,
DE,80+,2024,41,2024-10-13,884,528.0,172.0,,,,,,,,,
DE,80+,2024,42,2024-10-20,913,398.0,,,,,,,,,,
DE,80+,2024,43,2024-10-27,943,,,,,,,,,,,
